"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","URL Encoded Address","Crawl Timestamp"
"https://moreliving.com.au/","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","0","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,257","","https://www.moreliving.com.au/","HTTP Redirect","","","1.1","","https://moreliving.com.au/","2024-10-12 19:03:38"
"https://www.moreliving.com.au/","text/html; charset=UTF-8","200","OK","Indexable","","More Living – Transforming aged care and senior living communities.","67","618","","0","0","","0","","0","WELCOME TO MORE LIVING","22","WHY DO YOU NEED MORE?","21","max-image-preview:large","","","https://www.moreliving.com.au/","","","","","","79055","15545","15545","5,511","","589","84","7,012","55,654","Fairly Hard","5,283","1","0","","21","5","0","83,330","21","6","0","0","0","0","","","","","c32eb81618aaf6df8e16ded48bccfafc","0,637","","","","","en-US","1.1","","https://www.moreliving.com.au/","2024-10-12 19:03:38"
"https://www.moreliving.com.au/contact-us/","text/html; charset=UTF-8","200","OK","Indexable","","Contact Us – More Living","24","225","","0","0","","0","","0","GET IN TOUCH","12","ONLINE ENQUIRY","14","max-image-preview:large","","","https://www.moreliving.com.au/contact-us/","","","","","","53941","11893","11893","4,216","","65","18","3,611","80,825","Easy","1,059","2","1","","16","5","0","83,330","20","6","0","0","0","0","","","","","17b33d42d5f377479ea4f5014eb717d4","0,440","","","","","en-US","1.1","","https://www.moreliving.com.au/contact-us/","2024-10-12 19:03:40"
"https://www.moreliving.com.au/our-work/","text/html; charset=UTF-8","200","OK","Indexable","","Our Work – More Living","22","210","","0","0","","0","","0","FROM CONCEPT TO COMMUNITY","25","","0","max-image-preview:large","","","https://www.moreliving.com.au/our-work/","","","","","","49676","11055","11055","3,919","","48","8","6,000","50,933","Fairly Hard","1,030","2","1","","17","5","0","83,330","19","6","0","0","0","0","","","","","87b2fe2caa20198d8a049dbad8633595","0,552","","","","","en-US","1.1","","https://www.moreliving.com.au/our-work/","2024-10-12 19:03:40"
"https://www.moreliving.com.au/services/","text/html; charset=UTF-8","200","OK","Indexable","","Services – More Living","22","203","","0","0","","0","","0","OVERVIEW","8","SALES & MARKETING STRATEGY","26","max-image-preview:large","","","https://www.moreliving.com.au/services/","","","","","","63018","12572","12572","4,457","","372","53","7,019","39,608","Hard","4,522","2","1","","17","5","0","83,330","19","6","0","0","0","0","","","","","a86726104977040a11948f896a21449c","0,466","","","","","en-US","1.1","","https://www.moreliving.com.au/services/","2024-10-12 19:03:40"
"https://www.moreliving.com.au/cdn-cgi/l/email-protection","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","Email Protection | Cloudflare","29","255","","0","0","","0","Email Protection","16","You are unable to access this email address www.moreliving.com.au","65","","0","noindex, nofollow","","","","","","","","","4699","1772","1772","0,628","","116","23","5,043","76,274","Fairly Easy","14,774","2","2","","11","5","0","83,330","0","0","0","4","4","0","","","","","af8437b867737329221149448f42e73b","0,063","","","","","en-US","1.1","","https://www.moreliving.com.au/cdn-cgi/l/email-protection","2024-10-12 19:03:41"
"https://www.moreliving.com.au/about/","text/html; charset=UTF-8","200","OK","Indexable","","About Us – More Living","22","208","","0","0","","0","","0","","0","","0","max-image-preview:large","","","https://www.moreliving.com.au/about/","","","","","","62163","13828","13828","4,902","","843","112","7,527","45,852","Hard","9,710","2","1","","16","5","0","83,330","19","6","0","0","0","0","","","","","449e890032e818ade0160b3418f8a0e1","0,470","","","","","en-US","1.1","","https://www.moreliving.com.au/about/","2024-10-12 19:03:40"
